Number	Morph	Frequency
208	Adj+Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+Pnon+Gen	14
209	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+P1pl+Dat	14
210	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Pos+Prog2+A3sg	14
211	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Pos+Prog2+A3sg+Cop+A3sg	14
212	Noun+NoHats+A3sg+Pnon+Nom+Adj+Without+Noun+A3pl+Pnon+Gen	14
213	Noun+NoHats+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Pos+Noun+PastPart+A3sg+P3sg+Acc	14
214	Noun+Prop+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+P2pl+Nom	14
215	Noun+Prop+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+Pnon+Ins	14
216	Adj+Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+Pnon+Loc	13
217	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+P1pl+Dat	13
218	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3pl+P3sg+Ins	13
219	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+Pnon+Nom+Verb+Past+A3sg	13
220	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Pos+Adv+When	13
221	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Pos+Aor+A3pl	13
222	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Pos+Noun+Inf2+A3pl+P3sg+Dat	13
223	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Pos+Noun+PastPart+A3sg+P3sg+Dat	13
224	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Verb+Pass+Neg+Noun+PastPart+A3sg+P3sg+Dat	13
225	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Pres+A2pl+Cop+A3sg	13
226	Noun+NoHats+A3sg+Pnon+Nom+Adj+Without+Verb+Adv+While	13
227	Noun+NoHats+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Neg+Adj+PastPart+P3sg	13
228	Noun+Prop+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+P3sg+Nom	13
229	Adj+Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+Pnon+Gen	12
230	Adj+Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+Pnon+Nom+Verb+Pres+Cop+A3sg	12
231	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Pos+Noun+Inf1+A3sg+Pnon+Nom	12
232	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Pos+Prog1+Past+A3sg	12
233	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Pos+Prog2+A3sg+Cop+A3sg	12
234	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Pos+Imp+A2pl	12
235	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Pos+Narr+A3pl+Cop+A3sg	12
