Number	Morph	Frequency
241	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Loc+Adj+Rel	83
242	Verb+Pos+Noun+Agt+A3pl+Pnon+Nom+Verb+Pres+Cop+A3sg	83
243	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+P2pl+Gen	82
244	Verb+Pos+Noun+Agt+A3sg+Pnon+Loc+Adj+Rel	82
245	Verb+Pos+Noun+Agt+A3sg+Pnon+Nom+Verb+Pres+A2pl	82
246	Noun+A3sg+Pnon+Nom+Verb+Acquire+Verb+Caus+Pos+Noun+Agt+A3pl+Pnon+Nom	81
247	Noun+NoHats+A3sg+Pnon+Nom+Noun+Agt+A3pl+Pnon+Dat	81
248	Noun+NoHats+A3sg+Pnon+Nom+Noun+Agt+A3pl+Pnon+Gen	81
249	Verb+Pos+Noun+Agt+A3pl+P1pl+Acc	81
250	Verb+Verb+Caus+Pos+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Nom	81
251	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+P3sg+Nom+Verb+Past+A3sg	80
252	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+P2sg+Loc	79
253	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Dat	79
254	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Pos+Noun+Agt+A3sg+Pnon+Nom	78
255	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+Pnon+Apos+Ins	73
256	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+P1pl+Nom+Verb+Pres+Cop+A3sg	73
257	Verb+Pos+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Gen	73
258	Verb+Verb+Caus+Pos+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Nom	73
259	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Nom+Noun+Agt+A3pl+P3sg+Nom	72
260	Verb+Verb+Caus+Pos+Noun+Agt+A3pl+P3sg+Acc	72
261	Verb+Pos+Noun+Agt+A3sg+P2pl+Gen	71
262	Verb+Verb+Caus+Pos+Noun+Agt+A3sg+Pnon+Abl	71
263	Verb+Verb+Start+Pos+Noun+Agt+A3sg+Pnon+Nom	71
264	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Nom+Noun+Agt+A3sg+P3sg+Nom	70
265	Verb+Pos+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Dat	70
266	Adj+Noun+Ness+A3sg+Pnon+Nom+Noun+Agt+A3pl+Pnon+Nom	69
267	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+P2pl+Dat	69
268	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P2pl+Nom	69
269	Noun+A3sg+Pnon+Nom+Verb+Acquire+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom	69
270	Verb+Verb+Caus+Pos+Noun+Agt+A3pl+Pnon+Abl	69
271	Verb+Verb+Caus+Pos+Noun+Agt+A3sg+P3sg+Dat	68
272	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+Pnon+Apos+Acc	67
273	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+P3sg+Nom+Verb+Narr+A3sg	67
274	Verb+Pos+Noun+Agt+A3sg+Pnon+Nom+Verb+Pres+A2sg	64
275	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Acc	64
276	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P1sg+Ins	63
